artist,date,genre,style,title,filename,Gender
Kiyoshi Saito,1947.0,portrait,Sōsaku hanga,Profile of Brown Haired Woman,10000.jpg,0
Fernand Leger,1955.0,portrait,Naïve Art (Primitivism),Mother and child,10001.jpg,0
Amedeo Modigliani,1913,portrait,Expressionism,A red bust,100030.jpg,0
Lucian Freud,1992,portrait,Expressionism,Bruce Bernard,100039.jpg,0
Enrico Baj,1976.0,portrait,Neo-Dada,Ritratto immaginario di Asger Jorn,100063.jpg,0
Paul Mathiopoulos,1924.0,portrait,Art Nouveau (Modern),Portait of John Polemis,100079.jpg,0
John Singer Sargent,1908,portrait,Impressionism,Miss Wedewood and Miss Sargent Sketching,100089.jpg,0
John William Godward,1916,portrait,Neoclassicism,By the Blue Ionian Sea,100113.jpg,0
Neil Welliver,1964.0,portrait,Expressionism,The Beautiful Gabrielle and the Marechale de Balagny,100131.jpg,0
Stanley Spencer,1945,portrait,Neo-Romanticism,The Psychiatrist,100140.jpg,0
Edouard Vuillard,1913,portrait,Post-Impressionism,Madame Vuillard at the Hotel ,100145.jpg,0
Andy Warhol,1981,portrait,Pop Art,Mammy,100162.jpg,0
Valentin Serov,1902.0,portrait,Realism,Portrait of K. Pobedonostsev,100170.jpg,0
Xul Solar,1961,portrait,Surrealism,San Ignatius,100185.jpg,0
Enrico Baj,1972.0,portrait,Neo-Dada,Punchme General,100188.jpg,0
Fernand Leger,1953.0,portrait,Purism,Children in the bird ,100223.jpg,0
Tsuguharu Foujita,1954.0,portrait,Magic Realism,Jeune fille en jupe brune ,100229.jpg,0
Arthur Beecher Carles,1922,portrait,Post-Impressionism,Woman with Red Hair,100239.jpg,0
Cagnaccio di San Pietro,1940.0,portrait,Magic Realism,Bambino sul lettino ,100244.jpg,0
Tamara de Lempicka,1925,portrait,Art Deco,Portrait of Marquis Sommi,100247.jpg,1
Augustus John,1911.0,portrait,Post-Impressionism,Two Disciples,100255.jpg,0
Egon Schiele,1911,portrait,Expressionism,The Dancer Moa,100262.jpg,0
